tez_default_schema,2961.171
tez_default_schema,2955.802
tez_default_schema,3799.528
tez_default_schema,3200.984
tez_default_schema,2997.93
tez_partitioned_schema,2480.464
tez_partitioned_schema,2376.565
tez_partitioned_schema,3476.431
tez_partitioned_schema,2392.449
tez_partitioned_schema,2348.354
tez_orc,1382.464
tez_orc,1391.217
tez_orc,1458.476
tez_orc,1347.141
tez_orc,1314.971
tez_vectorization,1280.978
tez_vectorization,1338.91
tez_vectorization,1355.502
tez_vectorization,1335.788
tez_vectorization,1335.912
mr_default_schema,21356.802
mr_default_schema,21370.395
